Constituency,Total,No qualifications,Level 1,Level 2,Level 3,Level 4 and above
Aberdeen North,85508,19204,19542,14168,7830,24764
Aberdeen South,79629,13552,15422,10737,7831,32087
Airdrie and Shotts,69401,25002,17921,8912,6819,10747
Angus,71153,21183,18206,9188,7600,14976
Argyll and Bute,73731,18234,16778,10946,6496,21277
"Ayr, Carrick and Cumnock",77750,25583,18197,10341,7294,16335
Banff and Buchan,75241,23560,20852,9417,7382,14030
"Berwickshire, Roxburgh and Selkirk",78968,23020,18455,10831,6913,19749
"Caithness, Sutherland and Easter Ross",51311,15298,13203,7069,4907,10834
Central Ayrshire,72896,21586,17329,10082,8193,15706
"Coatbridge, Chryston and Bellshill",76740,26018,19386,10391,7866,13079
"Cumbernauld, Kilsyth and Kirkintilloch East",70343,19157,18400,10861,7975,13950
Dumfries and Galloway,80966,26137,19717,10888,6394,17830
"Dumfriesshire, Clydesdale and Tweeddale",71321,22048,16682,9462,5415,17714
Dundee East,71970,18184,17300,9853,7606,19027
Dundee West,76161,20004,16423,12957,7503,19274
Dunfermline and West Fife,79833,19418,19785,11595,9320,19715
East Dunbartonshire,67585,12099,12044,11076,6504,25862
"East Kilbride, Strathaven and Lesmahagow",82365,20788,20271,13339,9411,18556
East Lothian,81089,20368,20248,11607,6985,21881
East Renfrewshire,72673,13966,13369,12515,7214,25609
Edinburgh East,83008,16411,15860,15351,6130,29256
Edinburgh North and Leith,91725,13258,14506,11314,7235,45412
Edinburgh South,72084,10580,11197,11874,4617,33816
Edinburgh South West,84103,14882,17264,12855,6614,32488
Edinburgh West,73504,14175,16143,10627,5948,26611
Na h-Eileanan an Iar,23006,6907,4735,3143,2144,6077
Falkirk,89102,23558,24292,12876,9457,18919
Glasgow Central,80051,19779,12177,12655,7772,27668
Glasgow East,71487,30201,17692,8363,6123,9108
Glasgow North,63165,12353,8558,11725,4898,25631
Glasgow North East,71012,30165,15443,7551,5991,11862
Glasgow North West,70972,21358,13769,8729,6373,20743
Glasgow South,73416,19799,13852,9569,7108,23088
Glasgow South West,67947,25547,16726,8158,6485,11031
Glenrothes,72723,23203,19859,9287,8862,11512
Gordon,81865,17156,21115,12030,8440,23124
Inverclyde,67753,22083,15550,8957,7786,13377
"Inverness, Nairn, Badenoch and Strathspey",83441,19403,20327,12177,8046,23488
Kilmarnock and Loudoun,79719,26050,19129,11019,8239,15282
Kirkcaldy and Cowdenbeath,79343,23558,19479,10303,9031,16972
Lanark and Hamilton East,81214,24345,18034,11540,8095,19200
Linlithgow and East Falkirk,90801,24766,24917,12384,9252,19482
Livingston,87375,23174,25587,12409,8778,17427
Midlothian,67584,19310,18471,9800,5776,14227
Moray,76251,20343,20088,10987,7520,17313
Motherwell and Wishaw,74656,24811,18631,10356,7830,13028
North Ayrshire and Arran,78885,23774,18356,10794,9081,16880
North East Fife,68902,13242,13607,12121,6563,23369
Ochil and South Perthshire,82162,20212,19286,11806,8099,22759
Orkney and Shetland,36419,9437,8900,5290,3109,9683
Paisley and Renfrewshire North,72445,19532,16667,10796,8354,17096
Paisley and Renfrewshire South,71760,20985,16677,10137,7805,16156
Perth and North Perthshire,81424,20222,18856,11029,7959,23358
"Ross, Skye and Lochaber",55982,13923,13189,8208,4686,15976
Rutherglen and Hamilton West,84201,26474,20854,11543,8783,16547
Stirling,74232,15818,15179,12035,6479,24721
West Aberdeenshire and Kincardine,73999,13414,17521,10656,7774,24634
West Dunbartonshire,74720,24499,18852,10734,8296,12339